,precision,recall,f1-score,support
accipitridae,0.1111111111111111,0.08333333333333333,0.09523809523809523,12.0
acipenseridae,0.0,0.0,0.0,9.0
acroporidae,0.15294117647058825,0.6190476190476191,0.24528301886792453,21.0
agamidae,0.0,0.0,0.0,6.0
agariciidae,1.0,0.08333333333333333,0.15384615384615385,12.0
albulidae,0.0,0.0,0.0,3.0
alcedinidae,0.0,0.0,0.0,3.0
alligatoridae,0.0,0.0,0.0,3.0
alopiidae,0.0,0.0,0.0,6.0
ambystomatidae,0.0,0.0,0.0,6.0
anatidae,0.06976744186046512,0.16666666666666666,0.09836065573770492,18.0
anguidae,0.0,0.0,0.0,6.0
aotidae,0.0,0.0,0.0,6.0
apidae,1.0,0.06666666666666667,0.125,15.0
ardeidae,0.0,0.0,0.0,6.0
arthroleptidae,0.0,0.0,0.0,3.0
atelidae,1.0,0.06666666666666667,0.125,15.0
attelabidae,0.0,0.0,0.0,3.0
balaenicipitidae,0.0,0.0,0.0,3.0
balaenidae,0.0,0.0,0.0,3.0
balaenopteridae,0.0,0.0,0.0,3.0
balistidae,0.0,0.0,0.0,6.0
bombycillidae,0.0,0.0,0.0,3.0
bovidae,0.2727272727272727,0.5,0.35294117647058826,24.0
brachypteraciidae,0.0,0.0,0.0,3.0
bucerotidae,0.1694915254237288,0.47619047619047616,0.25,21.0
bufonidae,0.16,0.26666666666666666,0.2,15.0
burhinidae,0.0,0.0,0.0,6.0
cacatuidae,0.0,0.0,0.0,3.0
callitrichidae,0.0,0.0,0.0,12.0
callorhinchidae,0.0,0.0,0.0,3.0
caprimulgidae,0.0,0.0,0.0,3.0
carabidae,0.0,0.0,0.0,6.0
carcharhinidae,0.2542372881355932,0.5555555555555556,0.3488372093023256,27.0
cardiidae,0.0,0.0,0.0,6.0
carettochelyidae,0.0,0.0,0.0,3.0
cebidae,0.0,0.0,0.0,9.0
cerambycidae,0.0,0.0,0.0,3.0
cercopithecidae,0.125,0.5,0.2,30.0
cervidae,0.0,0.0,0.0,3.0
cetorhinidae,0.0,0.0,0.0,3.0
chaetodontidae,0.0,0.0,0.0,6.0
chamaeleonidae,0.045454545454545456,0.16666666666666666,0.07142857142857142,6.0
charadriidae,0.0,0.0,0.0,6.0
cheirogaleidae,0.0,0.0,0.0,3.0
chelidae,0.0,0.0,0.0,6.0
cheloniidae,0.0,0.0,0.0,3.0
chelydridae,0.0,0.0,0.0,3.0
ciconiidae,0.3333333333333333,0.1111111111111111,0.16666666666666666,9.0
coenagrionidae,0.0,0.0,0.0,3.0
