,precision,recall,f1-score,support
accipitridae,0.0,0.0,0.0,12.0
acipenseridae,0.0,0.0,0.0,9.0
acroporidae,0.18181818181818182,0.38095238095238093,0.24615384615384617,21.0
agamidae,0.0,0.0,0.0,6.0
agariciidae,0.17647058823529413,0.25,0.20689655172413793,12.0
albulidae,0.0,0.0,0.0,3.0
alcedinidae,0.0,0.0,0.0,3.0
alligatoridae,0.0,0.0,0.0,3.0
alopiidae,0.0,0.0,0.0,6.0
ambystomatidae,0.0,0.0,0.0,6.0
anatidae,0.13333333333333333,0.2222222222222222,0.16666666666666666,18.0
anguidae,0.0,0.0,0.0,6.0
aotidae,0.6666666666666666,0.3333333333333333,0.4444444444444444,6.0
apidae,0.6875,0.7333333333333333,0.7096774193548387,15.0
ardeidae,0.0,0.0,0.0,6.0
arthroleptidae,0.0,0.0,0.0,3.0
atelidae,0.45454545454545453,0.3333333333333333,0.38461538461538464,15.0
attelabidae,0.0,0.0,0.0,3.0
balaenicipitidae,0.0,0.0,0.0,3.0
balaenidae,0.0,0.0,0.0,3.0
balaenopteridae,0.0,0.0,0.0,3.0
balistidae,0.0,0.0,0.0,6.0
bombycillidae,0.0,0.0,0.0,3.0
bovidae,0.05128205128205128,0.16666666666666666,0.0784313725490196,24.0
brachypteraciidae,1.0,0.3333333333333333,0.5,3.0
bucerotidae,0.0625,0.19047619047619047,0.09411764705882353,21.0
bufonidae,0.025,0.06666666666666667,0.03636363636363636,15.0
burhinidae,0.0,0.0,0.0,6.0
cacatuidae,1.0,0.3333333333333333,0.5,3.0
callitrichidae,0.0,0.0,0.0,12.0
callorhinchidae,0.0,0.0,0.0,3.0
caprimulgidae,0.0,0.0,0.0,3.0
carabidae,0.0,0.0,0.0,6.0
carcharhinidae,0.19230769230769232,0.5555555555555556,0.2857142857142857,27.0
cardiidae,0.0,0.0,0.0,6.0
carettochelyidae,0.0,0.0,0.0,3.0
cebidae,0.0,0.0,0.0,9.0
cerambycidae,0.0,0.0,0.0,3.0
cercopithecidae,0.12037037037037036,0.43333333333333335,0.18840579710144928,30.0
cervidae,0.0,0.0,0.0,3.0
cetorhinidae,0.0,0.0,0.0,3.0
chaetodontidae,0.0,0.0,0.0,6.0
chamaeleonidae,0.0,0.0,0.0,6.0
charadriidae,0.0,0.0,0.0,6.0
